SIM_No,MC_Num,JB_Num,P_1,P_2,P_3,I_LB,N_1,N_2,N_3
283,20,100,678,637,588,550,55851566,56310219,54887268
284,20,100,689,653,603,569,57418348,57800622,58519364
285,20,100,669,615,583,545,57034434,59100137,51017664
286,20,100,649,606,592,534,55303335,56068522,57921093
287,20,100,674,634,590,557,64348023,57029442,53658385
288,20,100,676,621,594,558,56951135,57389787,50144164
289,20,100,664,644,601,536,57610454,57697871,50657007
290,20,100,663,640,597,554,54828089,58352464,54874507
291,20,100,670,640,585,547,56996039,56137978,48263612
292,20,100,673,645,571,542,55965302,62624134,47458138
293,20,100,665,625,579,541,56167415,59600874,51633331
294,20,100,684,651,596,547,58136431,57560587,49713014
295,20,100,670,617,590,532,54739030,55984396,57784435
296,20,100,662,612,577,542,56482276,57820614,43231507
297,20,100,666,615,572,548,57310119,56737728,68648463
298,20,100,670,634,588,540,59281337,59404723,56047761
299,20,100,666,633,584,551,57597042,57171856,48650998
300,20,100,691,643,596,545,57569988,56929971,55170708
301,20,100,662,628,621,548,56189417,56312590,44317901
302,20,100,663,617,554,551,56838903,56802831,49623632
303,20,100,668,625,571,535,56045099,57261674,53805732
304,20,100,674,635,589,556,61776249,60506327,54914637
305,20,100,657,617,579,528,57218799,56191035,49644470
306,20,100,686,638,617,544,57978101,57704237,54318511
307,20,100,675,624,595,552,57028732,57751472,47662698
308,20,100,705,655,616,586,56722905,59447746,52529814
309,20,100,661,621,592,536,55504296,57616835,41574091
310,20,100,661,621,581,561,56130367,57569472,45832604
311,20,100,686,626,611,540,58647056,57705294,48295299
312,20,100,707,638,622,585,56094327,56807138,52512960
313,20,100,658,616,581,547,57381613,58622627,56249536
314,20,100,651,636,627,524,55276562,58219367,49978953
315,20,100,677,616,570,544,58599359,57382378,52912838
316,20,100,685,627,576,529,56523790,59079358,57313776
317,20,100,672,628,616,557,56940471,56602935,46439770
318,20,100,642,620,556,536,54522945,59515215,47600381
319,20,100,681,627,583,540,59684783,56627972,46792534
320,20,100,678,632,613,537,58040419,58390028,50871554
321,20,100,653,603,588,546,57317413,58121198,57879320
322,20,100,656,626,591,566,55456175,58610205,60575094
323,20,100,679,635,582,548,57481839,57049985,57770165
324,20,100,645,603,550,542,55494684,57168350,49658853
325,20,100,653,624,580,564,57533232,58849824,60703858
326,20,100,655,619,582,527,59868046,57828268,63033175
327,20,100,674,633,582,550,57588824,57067765,41864702
328,20,100,661,621,577,538,60271556,58843519,54830467
329,20,100,679,649,589,553,56992643,56537581,55030804
330,20,100,677,637,582,559,59412949,56822803,49479396
331,20,100,693,636,587,543,56584940,58344658,51487874
332,20,100,683,653,630,574,56793002,58373845,48945720
333,20,100,677,631,599,524,56619037,60226710,50049234
334,20,100,666,619,586,555,60945274,59912499,54640088
335,20,100,652,603,593,536,56915589,56161215,50567900
336,20,100,681,643,589,543,57864473,56732829,57947504
337,20,100,660,615,563,546,58132083,55809189,61528212
338,20,100,654,618,548,536,58459198,58200987,49842758
339,20,100,624,611,569,532,56021455,57130479,52684559
340,20,100,688,649,630,558,57282572,59329029,47395114
341,20,100,666,653,599,599,57674312,57879467,10262
342,20,100,662,644,615,539,56094193,57291324,50685109
343,20,100,660,618,574,531,57923731,56557721,57865153
344,20,100,669,633,581,540,57402324,55844268,52598811
345,20,100,685,632,602,546,60682737,59964928,49857419
346,20,100,673,637,587,547,58482884,61016524,45427386
347,20,100,652,628,600,539,58424542,58336859,53305786
348,20,100,692,620,578,545,71435222,58597136,49216292
349,20,100,661,614,584,538,61700072,58464864,48592081
350,20,100,676,639,572,553,60583722,57309196,57031300
351,20,100,674,616,580,535,58417995,55751119,46704397
352,20,100,660,627,565,541,57113674,58498059,48996835
353,20,100,658,626,580,536,57104167,57055696,50725960
354,20,100,673,633,576,537,56280054,57466121,50730901
355,20,100,661,626,565,547,54569666,56621723,61905942
356,20,100,663,619,605,522,54971530,58378692,53362174
357,20,100,675,630,592,559,58565081,56009281,50317586
358,20,100,658,618,574,534,55664717,57840235,52890401
359,20,100,692,641,592,569,57059070,58068385,41937790
