subject,part,score,reduction,outcome
staff_06,handrail,0,,0
staff_06,closette,0,,0
staff_06,toiletseat,0,,0
staff_06,UBhandrail,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,UBlight_sw,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,dispencer,0,,0
staff_06,UBlight_sw,0,,0
staff_06,UBhandrail,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,bedside_table,0,,0
staff_06,UBlight_sw,0,,0
staff_06,closette,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,callbotton,0,,0
staff_06,doorhandle,0,,0
staff_06,toiletseat,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,callbotton,0,,0
staff_06,UBhandrail,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,overhead_table,0,,0
staff_06,dispencer,0,,0
staff_06,closette,0,,0
staff_06,toiletseat,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,overhead_table,0,,0
staff_06,bedrail,0,,0
staff_06,bedboard,0,,0
staff_06,overhead_table,0,,0
staff_06,bedside_table,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,overhead_table,0,,0
staff_06,dispencer,0,,0
staff_06,closette,0,,0
staff_06,bedrail,0,,1
staff_06,bedrail,0,,1
staff_06,bedrail,0,,1
staff_06,bedrail,0,,1
staff_06,bedboard,0,,1
staff_06,overhead_table,0,,1
staff_06,callbotton,0,-8,1
staff_06,dispencer,0,,1
staff_06,handrail,0,,1
staff_06,UBhandrail,0,,1
staff_06,bedrail,0,-13.5,0
staff_06,bedrail,0,-40,0
staff_06,bedside_table,0,,0
staff_06,closette,0,,0
staff_06,bedrail,0,,0
staff_06,bedrail,0,,0
staff_06,UBlight_sw,0,,0
staff_06,UBlight_sw,0.5,,0
staff_06,toilet_seat_switch,0.5,,0
staff_06,bedrail,0.5,,0
staff_06,bedcontroller,0.5,,0
staff_06,bedrail,0.5,,0
staff_06,overhead_table,0.5,,0
staff_06,bedboard,0.5,0.0909090909090909,0
staff_06,overhead_table,0.5,,0
staff_06,UBlight_sw,0.5,,0
staff_06,bedside_table,0.5,,0
staff_06,bedrail,0.5,,0
staff_06,bedrail,0.5,,0
staff_06,toiletseat,0.5,,0
staff_06,bedrail,0.5,,0
staff_06,handrail,0.5,,0
staff_06,toilet_seat_switch,0.5,,0
staff_06,UBhandrail,0.5,,0
staff_06,bedrail,0.5,,0
staff_06,bedside_table,0.5,,0
staff_06,handrail,0.5,,0
staff_06,bedrail,0.5,,1
staff_06,overhead_table,0.5,,0
staff_06,dispencer,0.5,1,0
staff_06,handrail,0.5,,0
staff_06,UBhandrail,0.5,,0
staff_06,bedrail,0.5,,0
staff_06,tap,0.5,,0
staff_06,bedrail,0.5,,0
staff_06,bedrail,0.5,,0
staff_06,closette,0.5,,0
staff_06,toiletseat,0.5,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,callbotton,1,,0
staff_06,tap,1,,0
staff_06,chair,1,,0
staff_06,toiletseat,1,,0
staff_06,showerhead,1,,0
staff_06,bedrail,1,,0
staff_06,toiletseat,1,,0
staff_06,toiletseat,1,,0
staff_06,overhead_table,1,,0
staff_06,bedside_table,1,,0
staff_06,tap,1,,0
staff_06,chair,1,,0
staff_06,toilet_seat_switch,1,0.761904761904762,0
staff_06,toiletseat,1,,0
staff_06,toiletseat,1,,0
staff_06,showerhead,1,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,callbotton,1,,0
staff_06,doorhandle,1,,0
staff_06,toilet_seat_switch,1,,0
staff_06,toiletseat,1,,0
staff_06,toiletseat,1,,0
staff_06,bedrail,1,,0
staff_06,overhead_table,1,,0
staff_06,tap,1,,0
staff_06,toiletseat,1,,0
staff_06,toiletseat,1,,0
